Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
44	88	Dayside	2024 DEC 25 05:20:50	2024 DEC 25 05:50:22	2024 DEC 25 06:19:54	3543.75	47.60	87.08	-146.80	-69.80	15.01	69.77	19.57	10.74	1	-		COP row -1: 		
45	88	Nightside	2024 DEC 25 06:19:54	2024 DEC 25 06:49:18	2024 DEC 25 07:18:42	3528.70	-146.80	-107.78	18.86	69.77	-13.51	-69.73	160.35	22.71	14	-	-	-		
45	88	Dayside	2024 DEC 25 07:18:42	2024 DEC 25 07:48:15	2024 DEC 25 08:17:47	3545.02	18.86	58.19	-175.56	-69.73	15.13	69.69	19.78	10.73	14	-		COP row -1: 		
46	88	Nightside	2024 DEC 25 08:17:47	2024 DEC 25 08:47:12	2024 DEC 25 09:16:38	3530.39	-175.56	-136.66	-9.96	69.69	-13.60	-69.61	160.15	22.70	1	-	-	-		
46	88	Dayside	2024 DEC 25 09:16:38	2024 DEC 25 09:46:11	2024 DEC 25 10:15:44	3546.63	-9.96	29.30	155.60	-69.61	15.21	69.56	19.97	10.72	1	-		COP row -1: 		
47	88	Nightside	2024 DEC 25 10:15:44	2024 DEC 25 10:45:10	2024 DEC 25 11:14:36	3531.65	155.60	-165.58	-38.76	69.56	-13.74	-69.51	159.93	22.68	47	-	-	COP row -1: 		
47	88	Dayside	2024 DEC 25 11:14:36	2024 DEC 25 11:44:10	2024 DEC 25 12:13:43	3547.38	-38.76	0.37	126.80	-69.51	15.28	69.46	20.18	10.70	47	-		COP row -1: 	&trueNightLimb; &mroOverlap; 	
48	88	Nightside	2024 DEC 25 12:13:43	2024 DEC 25 12:43:09	2024 DEC 25 13:12:34	3531.18	126.80	165.49	-67.52	69.46	-13.86	-69.44	159.70	22.67	1	-	-	-		
48	88	Dayside	2024 DEC 25 13:12:34	2024 DEC 25 13:42:08	2024 DEC 25 14:11:42	3547.73	-67.52	-28.58	98.06	-69.44	15.38	69.40	20.42	10.69	1	-		COP row -1: 	&daysideMatch:ACIDALIA MUD VOLCANOES NE; 	
49	88	Nightside	2024 DEC 25 14:11:42	2024 DEC 25 14:41:07	2024 DEC 25 15:10:32	3529.42	98.06	136.54	-96.25	69.40	-13.93	-69.39	159.46	22.65	14	-	-	-		
49	88	Dayside	2024 DEC 25 15:10:32	2024 DEC 25 15:40:05	2024 DEC 25 16:09:39	3547.31	-96.25	-57.52	69.37	-69.39	15.49	69.38	20.67	10.67	14	-		COP row -1: 		
50	88	Nightside	2024 DEC 25 16:09:39	2024 DEC 25 16:39:03	2024 DEC 25 17:08:27	3527.82	69.37	107.61	-124.95	69.38	-13.99	-69.36	159.24	22.64	1	-	-	-		
50	88	Dayside	2024 DEC 25 17:08:27	2024 DEC 25 17:38:00	2024 DEC 25 18:07:33	3546.19	-124.95	-86.44	40.69	-69.36	15.58	69.35	20.89	10.66	1	Surface Ice 4SUBD 01	Science: orders #199, #194, #193, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
51	88	Nightside	2024 DEC 25 18:07:33	2024 DEC 25 18:36:56	2024 DEC 25 19:06:20	3527.03	40.69	78.71	-153.65	69.35	-14.08	-69.32	159.02	22.62	14	-	-	-		
51	88	Dayside	2024 DEC 25 19:06:20	2024 DEC 25 19:35:53	2024 DEC 25 20:05:26	3546.19	-153.65	-115.33	11.92	-69.32	15.65	69.26	21.09	10.64	14	-		COP row -1: 		
52	88	Nightside	2024 DEC 25 20:05:26	2024 DEC 25 20:34:50	2024 DEC 25 21:04:14	3527.88	11.92	49.83	177.57	69.26	-14.22	-69.22	158.82	22.61	14	-	-	-		
52	88	Dayside	2024 DEC 25 21:04:14	2024 DEC 25 21:33:48	2024 DEC 25 22:03:23	3548.58	177.57	-144.22	-16.91	-69.22	15.74	69.14	21.30	10.63	14	-		COP row -1: 		
53	88	Nightside	2024 DEC 25 22:03:23	2024 DEC 25 22:32:47	2024 DEC 25 23:02:12	3529.31	-16.91	20.92	148.73	69.14	-14.31	-69.08	158.61	22.60	14	-	-	-		
53	88	Dayside	2024 DEC 25 23:02:12	2024 DEC 25 23:31:47	2024 DEC 26 00:01:21	3549.16	148.73	-173.14	-45.70	-69.08	15.88	69.04	21.52	10.62	14	-		COP row -1: 		
54	88	Nightside	2024 DEC 26 00:01:21	2024 DEC 26 00:30:46	2024 DEC 26 01:00:12	3530.68	-45.70	-8.02	119.93	69.04	-14.39	-68.99	158.39	22.58	1	-	-	-		
54	88	Dayside	2024 DEC 26 01:00:12	2024 DEC 26 01:29:46	2024 DEC 26 01:59:20	3547.90	119.93	157.93	-74.46	-68.99	15.99	68.97	21.75	10.60	1	-		COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
55	88	Nightside	2024 DEC 26 01:59:20	2024 DEC 26 02:28:45	2024 DEC 26 02:58:11	3531.42	-74.46	-36.96	91.20	68.97	-14.48	-68.95	158.15	22.57	1	-	-	-		
55	88	Dayside	2024 DEC 26 02:58:11	2024 DEC 26 03:27:44	2024 DEC 26 03:57:17	3545.78	91.20	128.98	-103.17	-68.95	16.06	68.93	21.98	10.59	1	-		COP row -1: 		
56	88	Nightside	2024 DEC 26 03:57:17	2024 DEC 26 04:26:42	2024 DEC 26 04:56:07	3530.57	-103.17	-65.90	62.52	68.93	-14.58	-68.93	157.92	22.55	14	-	-	-		
56	88	Dayside	2024 DEC 26 04:56:07	2024 DEC 26 05:25:40	2024 DEC 26 05:55:12	3544.47	62.52	100.05	-131.87	-68.93	16.14	68.90	22.20	10.57	14	-		COP row -1: 		
57	88	Nightside	2024 DEC 26 05:55:12	2024 DEC 26 06:24:36	2024 DEC 26 06:54:00	3528.57	-131.87	-94.81	33.82	68.90	-14.66	-68.88	157.70	22.54	1	-	-	-		
57	88	Dayside	2024 DEC 26 06:54:00	2024 DEC 26 07:23:33	2024 DEC 26 07:53:05	3544.99	33.82	71.16	-160.59	-68.88	16.25	68.84	22.42	10.56	1	-		COP row -1: 	&daysideMatch:NILI FOSSAE; 	
58	88	Nightside	2024 DEC 26 07:53:05	2024 DEC 26 08:22:30	2024 DEC 26 08:51:54	3528.71	-160.59	-123.70	5.03	68.84	-14.74	-68.77	157.50	22.52	14	-	-	-		
58	88	Dayside	2024 DEC 26 08:51:54	2024 DEC 26 09:21:28	2024 DEC 26 09:51:01	3546.69	5.03	42.28	170.60	-68.77	16.37	68.72	22.62	10.54	14	-		COP row -1: 		
59	88	Nightside	2024 DEC 26 09:51:01	2024 DEC 26 10:20:26	2024 DEC 26 10:49:52	3530.82	170.60	-152.60	-23.79	68.72	-14.87	-68.66	157.30	22.51	47	-	-	COP row -1: 		
59	88	Dayside	2024 DEC 26 10:49:52	2024 DEC 26 11:19:26	2024 DEC 26 11:48:59	3547.68	-23.79	13.36	141.77	-68.66	16.44	68.60	22.82	10.53	47	-		COP row -1: 	&trueNightLimb; 	
60	88	Nightside	2024 DEC 26 11:48:59	2024 DEC 26 12:18:25	2024 DEC 26 12:47:50	3531.09	141.77	178.48	-52.57	68.60	-15.01	-68.57	157.07	22.50	1	-	-	-		
