Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
146	Nightside	2021 FEB 04 11:05:44	2021 FEB 04 11:35:14	2021 FEB 04 12:04:43	3539.0	123.1	-157.3	-71.2	74.6	-0.1	-74.5	174.4	23.6	47	Night Limb #2	Science: orders #158, #158, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
146	Dayside	2021 FEB 04 12:04:43	2021 FEB 04 12:34:13	2021 FEB 04 13:03:42	3539.2	-71.2	8.7	94.5	-74.5	1.6	74.5	5.7	11.6	47	-		COP row -1: 	&trueNightLimb; 	
147	Nightside	2021 FEB 04 13:03:42	2021 FEB 04 13:33:12	2021 FEB 04 14:02:41	3539.0	94.5	173.8	-99.8	74.5	-0.2	-74.5	174.1	23.6	1	-	-	-		
147	Dayside	2021 FEB 04 14:02:41	2021 FEB 04 14:32:11	2021 FEB 04 15:01:41	3539.9	-99.8	-20.3	65.9	-74.5	1.7	74.5	6.0	11.6	1	-		COP row -1: 	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
148	Nightside	2021 FEB 04 15:01:41	2021 FEB 04 15:31:10	2021 FEB 04 16:00:39	3537.7	65.9	144.8	-128.5	74.5	-0.3	-74.5	173.9	23.6	3	-	-	-		
148	Dayside	2021 FEB 04 16:00:39	2021 FEB 04 16:30:09	2021 FEB 04 16:59:39	3539.9	-128.5	-49.3	37.2	-74.5	1.8	74.5	6.3	11.6	3	Ice H2O 2SUBD #1	Science: orders #193, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
149	Nightside	2021 FEB 04 16:59:39	2021 FEB 04 17:29:07	2021 FEB 04 17:58:35	3536.0	37.2	115.8	-157.1	74.5	-0.3	-74.6	173.6	23.6	1	-	-	-		
149	Dayside	2021 FEB 04 17:58:35	2021 FEB 04 18:28:04	2021 FEB 04 18:57:34	3539.0	-157.1	-78.2	8.6	-74.6	1.9	74.6	6.5	11.6	1	-		COP row -1: 	&mroOverlap; 	
150	Nightside	2021 FEB 04 18:57:34	2021 FEB 04 19:27:01	2021 FEB 04 19:56:29	3534.9	8.6	86.9	174.3	74.6	-0.4	-74.6	173.4	23.6	14	-	-	-		
150	Dayside	2021 FEB 04 19:56:29	2021 FEB 04 20:25:58	2021 FEB 04 20:55:27	3537.9	174.3	-107.1	-20.1	-74.6	2.0	74.6	6.7	11.6	14	-		COP row -1: 	&daysideMatch:ASCRAEUS MONS; 	
151	Nightside	2021 FEB 04 20:55:27	2021 FEB 04 21:24:54	2021 FEB 04 21:54:21	3534.7	-20.1	58.0	145.6	74.6	-0.5	-74.6	173.2	23.6	1	-	-	-		
