science_1,science_2,science_3,science_4,science_5,science_6
231,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
232,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
233,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
234,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
235,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
236,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
237,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
238,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
239,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
240,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
241,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
242,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
243,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
244,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
245,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
246,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
247,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
248,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
249,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
250,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
251,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
252,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
253,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
254,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
255,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
256,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
257,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
258,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
259,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
