TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,550,Dayside_Nadir,2018 MAY 11 02:30:09, 
-1,-1,-1,-1,551,Dayside_Nadir,2018 MAY 11 02:30:09, 
-1,-1,-1,-1,552,Dayside_Nadir,2018 MAY 11 02:30:09, 
1,1,1934,1934,553,Dayside_Nadir,2018 MAY 11 04:18:15,OBSERVATION_COMMENT
-1,-1,-1,-1,554,Dayside_Nadir,2018 MAY 11 06:26:17, 
-1,-1,-1,-1,555,Dayside_Nadir,2018 MAY 11 06:26:17, 
-1,-1,-1,-1,556,Dayside_Nadir,2018 MAY 11 06:26:17, 
1,1,1107,1107,557,Dayside_Nadir,2018 MAY 11 08:14:19,OBSERVATION_COMMENT
-1,-1,-1,-1,558,Dayside_Nadir,2018 MAY 11 10:22:25, 
-1,-1,-1,-1,559,Dayside_Nadir,2018 MAY 11 10:22:25, 
-1,-1,-1,-1,560,Dayside_Nadir,2018 MAY 11 10:22:25, 
1,1,1837,1837,561,Dayside_Nadir,2018 MAY 11 12:10:35,OBSERVATION_COMMENT
-1,-1,-1,-1,562,Dayside_Nadir,2018 MAY 11 14:18:43, 
-1,-1,-1,-1,563,Dayside_Nadir,2018 MAY 11 14:18:43, 
-1,-1,-1,-1,564,Dayside_Nadir,2018 MAY 11 14:18:43, 
1,1,1033,1033,565,Dayside_Nadir,2018 MAY 11 16:06:51,OBSERVATION_COMMENT
-1,-1,-1,-1,566,Dayside_Nadir,2018 MAY 11 18:14:57, 
-1,-1,-1,-1,567,Dayside_Nadir,2018 MAY 11 18:14:57, 
-1,-1,-1,-1,568,Dayside_Nadir,2018 MAY 11 18:14:57, 
1,1,140,140,569,Dayside_Nadir,2018 MAY 11 20:12:59,OBSERVATION_COMMENT
-1,-1,-1,-1,570,Dayside_Nadir,2018 MAY 11 22:11:07, 
1,1,104,104,571,Dayside_Nadir,2018 MAY 12 00:09:17,OBSERVATION_COMMENT
-1,-1,-1,-1,572,Dayside_Nadir,2018 MAY 12 02:07:29, 
1,1,2639,2639,573,Dayside_Nadir,2018 MAY 12 04:05:41,OBSERVATION_COMMENT
-1,-1,-1,-1,574,Dayside_Nadir,2018 MAY 12 06:03:47, 
1,1,2626,2626,575,Dayside_Nadir,2018 MAY 12 08:01:51,OBSERVATION_COMMENT
-1,-1,-1,-1,576,Dayside_Nadir,2018 MAY 12 09:59:59, 
1,1,1125,1125,577,Dayside_Nadir,2018 MAY 12 11:58:11,OBSERVATION_COMMENT
-1,-1,-1,-1,578,Dayside_Nadir,2018 MAY 12 13:56:25, 
1,1,1125,1125,579,Dayside_Nadir,2018 MAY 12 15:54:37,OBSERVATION_COMMENT
-1,-1,-1,-1,580,Dayside_Nadir,2018 MAY 12 17:52:47, 
