Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
140	2018 JUN 28 02:15:23	2018 JUN 28 03:18:19	2018 JUN 28 02:46:27	3782.0	-141.0	-92.3	24.6	-69.6	12.6	69.6	8.1	
141	2018 JUN 28 04:13:12	2018 JUN 28 05:16:13	2018 JUN 28 04:44:19	3786.0	-169.6	-121.2	-3.7	-69.5	12.8	69.4	8.0	
142	2018 JUN 28 06:11:06	2018 JUN 28 07:14:09	2018 JUN 28 06:42:13	3788.0	161.9	-150.1	-32.2	-69.3	13.0	69.2	8.0	
143	2018 JUN 28 08:09:04	2018 JUN 28 09:12:05	2018 JUN 28 08:40:09	3786.0	133.5	-179.0	-60.9	-69.1	13.3	69.1	8.0	
144	2018 JUN 28 10:07:02	2018 JUN 28 11:10:01	2018 JUN 28 10:38:07	3784.0	104.9	152.1	-89.5	-69.0	13.4	69.0	8.0	
145	2018 JUN 28 12:04:57	2018 JUN 28 13:07:53	2018 JUN 28 12:36:01	3782.0	76.1	123.1	-118.3	-69.0	13.5	69.0	8.0	
146	2018 JUN 28 14:02:48	2018 JUN 28 15:05:45	2018 JUN 28 14:33:53	3782.0	47.4	94.2	-146.9	-69.0	13.6	68.9	8.0	
147	2018 JUN 28 16:00:38	2018 JUN 28 17:03:35	2018 JUN 28 16:31:41	3782.0	18.8	65.3	-175.6	-68.9	13.7	68.9	7.9	
148	2018 JUN 28 17:58:32	2018 JUN 28 19:01:31	2018 JUN 28 18:29:37	3784.0	-9.6	36.4	156.0	-68.7	14.0	68.6	7.9	
149	2018 JUN 28 19:56:29	2018 JUN 28 20:59:31	2018 JUN 28 20:27:35	3788.0	-38.2	7.5	127.7	-68.5	14.2	68.4	7.9	
150	2018 JUN 28 21:54:26	2018 JUN 28 22:57:27	2018 JUN 28 22:25:31	3786.0	-66.7	-21.4	99.0	-68.4	14.4	68.3	7.9	
151	2018 JUN 28 23:52:21	2018 JUN 29 00:55:21	2018 JUN 29 00:23:25	3786.0	-95.4	-50.4	70.3	-68.3	14.5	68.3	7.9	
152	2018 JUN 29 01:50:13	2018 JUN 29 02:53:11	2018 JUN 29 02:21:17	3784.0	-124.1	-79.3	41.4	-68.3	14.6	68.3	7.9	
153	2018 JUN 29 03:48:04	2018 JUN 29 04:51:03	2018 JUN 29 04:19:09	3784.0	-152.7	-108.2	12.9	-68.2	14.8	68.1	7.9	
154	2018 JUN 29 05:45:56	2018 JUN 29 06:48:59	2018 JUN 29 06:17:03	3788.0	178.8	-137.1	-15.5	-68.0	15.0	67.9	7.8	
155	2018 JUN 29 07:43:53	2018 JUN 29 08:46:57	2018 JUN 29 08:14:59	3790.0	150.2	-166.0	-43.9	-67.8	15.3	67.7	7.8	
156	2018 JUN 29 09:41:53	2018 JUN 29 10:44:53	2018 JUN 29 10:12:57	3786.0	121.8	165.1	-72.6	-67.6	15.5	67.6	7.8	
157	2018 JUN 29 11:39:50	2018 JUN 29 12:42:49	2018 JUN 29 12:10:55	3784.0	93.2	136.2	-101.2	-67.5	15.7	67.5	7.8	
158	2018 JUN 29 13:37:44	2018 JUN 29 14:40:41	2018 JUN 29 14:08:47	3782.0	64.5	107.2	-129.9	-67.4	15.8	67.4	7.8	
159	2018 JUN 29 15:35:35	2018 JUN 29 16:38:33	2018 JUN 29 16:06:37	3784.0	35.8	78.3	-158.5	-67.4	15.9	67.3	7.8	
160	2018 JUN 29 17:33:28	2018 JUN 29 18:36:27	2018 JUN 29 18:04:31	3786.0	7.2	49.4	173.0	-67.2	16.1	67.1	7.7	
