TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,2639,2639,467,Dayside_Nadir,2018 JUN 06 07:31:37,OBSERVATION_COMMENT
-1,-1,-1,-1,468,Dayside_Nadir,2018 JUN 06 09:39:29, 
-1,-1,-1,-1,469,Dayside_Nadir,2018 JUN 06 09:39:29, 
-1,-1,-1,-1,470,Dayside_Nadir,2018 JUN 06 09:39:29, 
1,1,2626,2626,472,Dayside_Nadir,2018 JUN 06 11:37:23,OBSERVATION_COMMENT
1,1,1029,1029,473,Dayside_Nadir,2018 JUN 06 13:25:17,OBSERVATION_COMMENT
1,1,2318,2318,475,Dayside_Nadir,2018 JUN 06 15:33:09,OBSERVATION_COMMENT
-1,-1,-1,-1,476,Dayside_Nadir,2018 JUN 06 17:31:01, 
-1,-1,-1,-1,477,Dayside_Nadir,2018 JUN 06 17:31:01, 
-1,-1,-1,-1,478,Dayside_Nadir,2018 JUN 06 17:31:01, 
1,1,1090,1090,479,Dayside_Nadir,2018 JUN 06 19:18:49,OBSERVATION_COMMENT
1,1,1779,1779,481,Dayside_Nadir,2018 JUN 06 21:26:39,OBSERVATION_COMMENT
-1,-1,-1,-1,482,Dayside_Nadir,2018 JUN 06 23:24:33, 
-1,-1,-1,-1,483,Dayside_Nadir,2018 JUN 06 23:24:33, 
-1,-1,-1,-1,484,Dayside_Nadir,2018 JUN 06 23:24:33, 
1,1,2318,2318,485,Dayside_Nadir,2018 JUN 07 01:12:29,OBSERVATION_COMMENT
1,1,1860,1860,487,Dayside_Nadir,2018 JUN 07 03:20:23,OBSERVATION_COMMENT
-1,-1,-1,-1,488,Dayside_Nadir,2018 JUN 07 05:18:15, 
-1,-1,-1,-1,489,Dayside_Nadir,2018 JUN 07 05:18:15, 
-1,-1,-1,-1,490,Dayside_Nadir,2018 JUN 07 05:18:15, 
1,1,2364,2364,491,Dayside_Nadir,2018 JUN 07 07:06:03,OBSERVATION_COMMENT
1,1,2318,2318,493,Dayside_Nadir,2018 JUN 07 09:13:53,OBSERVATION_COMMENT
1,1,144,144,495,Dayside_Nadir,2018 JUN 07 11:11:45,OBSERVATION_COMMENT
-1,-1,-1,-1,496,Dayside_Nadir,2018 JUN 07 13:09:39, 
-1,-1,-1,-1,497,Dayside_Nadir,2018 JUN 07 13:09:39, 
-1,-1,-1,-1,498,Dayside_Nadir,2018 JUN 07 13:09:39, 
1,1,124,124,500,Dayside_Nadir,2018 JUN 07 15:07:33,OBSERVATION_COMMENT
1,1,2318,2318,501,Dayside_Nadir,2018 JUN 07 16:55:25,OBSERVATION_COMMENT
-1,-1,-1,-1,502,Dayside_Nadir,2018 JUN 07 19:03:15, 
-1,-1,-1,-1,503,Dayside_Nadir,2018 JUN 07 19:03:15, 
-1,-1,-1,-1,504,Dayside_Nadir,2018 JUN 07 19:03:15, 
1,1,116,116,506,Dayside_Nadir,2018 JUN 07 21:01:03,OBSERVATION_COMMENT
1,1,2318,2318,508,Dayside_Nadir,2018 JUN 07 22:58:55,OBSERVATION_COMMENT
1,1,1934,1934,509,Dayside_Nadir,2018 JUN 08 00:46:51,OBSERVATION_COMMENT
-1,-1,-1,-1,510,Dayside_Nadir,2018 JUN 08 02:54:47, 
-1,-1,-1,-1,511,Dayside_Nadir,2018 JUN 08 02:54:47, 
-1,-1,-1,-1,512,Dayside_Nadir,2018 JUN 08 02:54:47, 
1,1,2318,2318,514,Dayside_Nadir,2018 JUN 08 04:52:39,OBSERVATION_COMMENT
1,1,1107,1107,515,Dayside_Nadir,2018 JUN 08 06:40:29,OBSERVATION_COMMENT
-1,-1,-1,-1,516,Dayside_Nadir,2018 JUN 08 08:48:19, 
-1,-1,-1,-1,517,Dayside_Nadir,2018 JUN 08 08:48:19, 
-1,-1,-1,-1,518,Dayside_Nadir,2018 JUN 08 08:48:19, 
1,1,1837,1837,520,Dayside_Nadir,2018 JUN 08 10:46:11,OBSERVATION_COMMENT
1,1,2318,2318,521,Dayside_Nadir,2018 JUN 08 12:34:05,OBSERVATION_COMMENT
1,1,1033,1033,523,Dayside_Nadir,2018 JUN 08 14:41:59,OBSERVATION_COMMENT
-1,-1,-1,-1,524,Dayside_Nadir,2018 JUN 08 16:39:51, 
-1,-1,-1,-1,525,Dayside_Nadir,2018 JUN 08 16:39:51, 
-1,-1,-1,-1,526,Dayside_Nadir,2018 JUN 08 16:39:51, 
1,1,2318,2318,527,Dayside_Nadir,2018 JUN 08 18:27:41,OBSERVATION_COMMENT
1,1,140,140,529,Dayside_Nadir,2018 JUN 08 20:35:31,OBSERVATION_COMMENT
-1,-1,-1,-1,530,Dayside_Nadir,2018 JUN 08 22:33:21, 
-1,-1,-1,-1,531,Dayside_Nadir,2018 JUN 08 22:33:21, 
-1,-1,-1,-1,532,Dayside_Nadir,2018 JUN 08 22:33:21, 
1,1,104,104,533,Dayside_Nadir,2018 JUN 09 00:21:15,OBSERVATION_COMMENT
1,1,2639,2639,535,Dayside_Nadir,2018 JUN 09 02:29:11,OBSERVATION_COMMENT
-1,-1,-1,-1,536,Dayside_Nadir,2018 JUN 09 04:27:03, 
-1,-1,-1,-1,537,Dayside_Nadir,2018 JUN 09 04:27:03, 
-1,-1,-1,-1,538,Dayside_Nadir,2018 JUN 09 04:27:03, 
1,1,2626,2626,539,Dayside_Nadir,2018 JUN 09 06:14:55,OBSERVATION_COMMENT
1,1,1029,1029,541,Dayside_Nadir,2018 JUN 09 08:22:43,OBSERVATION_COMMENT
1,1,2318,2318,543,Dayside_Nadir,2018 JUN 09 10:20:33,OBSERVATION_COMMENT
-1,-1,-1,-1,544,Dayside_Nadir,2018 JUN 09 12:18:27, 
-1,-1,-1,-1,545,Dayside_Nadir,2018 JUN 09 12:18:27, 
-1,-1,-1,-1,546,Dayside_Nadir,2018 JUN 09 12:18:27, 
1,1,1090,1090,547,Dayside_Nadir,2018 JUN 09 14:06:21,OBSERVATION_COMMENT
-1,-1,-1,-1,548,Dayside_Nadir,2018 JUN 09 16:14:13, 
-1,-1,-1,-1,549,Dayside_Nadir,2018 JUN 09 16:14:13, 
-1,-1,-1,-1,550,Dayside_Nadir,2018 JUN 09 16:14:13, 
1,1,1779,1779,551,Dayside_Nadir,2018 JUN 09 18:02:05,OBSERVATION_COMMENT
-1,-1,-1,-1,552,Dayside_Nadir,2018 JUN 09 20:09:55, 
-1,-1,-1,-1,553,Dayside_Nadir,2018 JUN 09 20:09:55, 
-1,-1,-1,-1,554,Dayside_Nadir,2018 JUN 09 20:09:55, 
1,1,2318,2318,556,Dayside_Nadir,2018 JUN 09 22:07:43,OBSERVATION_COMMENT
1,1,1860,1860,557,Dayside_Nadir,2018 JUN 09 23:55:37,OBSERVATION_COMMENT
-1,-1,-1,-1,558,Dayside_Nadir,2018 JUN 10 02:03:31, 
-1,-1,-1,-1,559,Dayside_Nadir,2018 JUN 10 02:03:31, 
-1,-1,-1,-1,560,Dayside_Nadir,2018 JUN 10 02:03:31, 
1,1,2364,2364,562,Dayside_Nadir,2018 JUN 10 04:01:27,OBSERVATION_COMMENT
1,1,2318,2318,563,Dayside_Nadir,2018 JUN 10 05:49:19,OBSERVATION_COMMENT
-1,-1,-1,-1,564,Dayside_Nadir,2018 JUN 10 07:57:09, 
-1,-1,-1,-1,565,Dayside_Nadir,2018 JUN 10 07:57:09, 
-1,-1,-1,-1,566,Dayside_Nadir,2018 JUN 10 07:57:09, 
1,1,144,144,568,Dayside_Nadir,2018 JUN 10 09:54:57,OBSERVATION_COMMENT
1,1,124,124,570,Dayside_Nadir,2018 JUN 10 11:52:51,OBSERVATION_COMMENT
1,1,2318,2318,571,Dayside_Nadir,2018 JUN 10 13:40:45,OBSERVATION_COMMENT
-1,-1,-1,-1,572,Dayside_Nadir,2018 JUN 10 15:48:37, 
-1,-1,-1,-1,573,Dayside_Nadir,2018 JUN 10 15:48:37, 
-1,-1,-1,-1,574,Dayside_Nadir,2018 JUN 10 15:48:37, 
1,1,116,116,575,Dayside_Nadir,2018 JUN 10 17:36:29,OBSERVATION_COMMENT
1,1,2318,2318,577,Dayside_Nadir,2018 JUN 10 19:44:19,OBSERVATION_COMMENT
-1,-1,-1,-1,578,Dayside_Nadir,2018 JUN 10 21:42:07, 
