OBSERVATION NUMBER,TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
396,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 20:50:41,COMMENT_GOES_HERE
397,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 20:50:41,COMMENT_GOES_HERE
398,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 22:49:09,COMMENT_GOES_HERE
399,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 22:49:09,COMMENT_GOES_HERE
400,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 22:49:09,COMMENT_GOES_HERE
401,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 00:47:37,COMMENT_GOES_HERE
402,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 00:47:37,COMMENT_GOES_HERE
403,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 00:47:37,COMMENT_GOES_HERE
404,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 02:46:07,COMMENT_GOES_HERE
405,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 02:46:07,COMMENT_GOES_HERE
406,-1,-1,-1,-1,Dayside_Nadir,2018 APR 10 02:46:07,COMMENT_GOES_HERE
408,1,1,2626,2626,Dayside_Nadir,2018 APR 10 06:33:05,NONE
409,1,1,116,116,Dayside_Nadir,2018 APR 10 08:31:31,NONE
411,1,1,1779,1779,Dayside_Nadir,2018 APR 10 12:25:23,NONE
412,1,1,2364,2364,Dayside_Nadir,2018 APR 10 14:20:51,NONE
414,1,1,1029,1029,Dayside_Nadir,2018 APR 10 18:11:47,NONE
415,1,1,1837,1837,Dayside_Nadir,2018 APR 10 20:07:13,NONE
417,1,1,124,124,Dayside_Nadir,2018 APR 10 23:58:01,NONE
418,1,1,1934,1934,Dayside_Nadir,2018 APR 11 01:53:29,NONE
419,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 03:58:57,COMMENT_GOES_HERE
420,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 03:58:57,COMMENT_GOES_HERE
421,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 03:58:57,COMMENT_GOES_HERE
422,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 05:54:25,COMMENT_GOES_HERE
423,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 05:54:25,COMMENT_GOES_HERE
424,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 05:54:25,COMMENT_GOES_HERE
425,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 07:49:51,COMMENT_GOES_HERE
426,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 07:49:51,COMMENT_GOES_HERE
427,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 07:49:51,COMMENT_GOES_HERE
428,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 09:45:13,COMMENT_GOES_HERE
429,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 09:45:13,COMMENT_GOES_HERE
430,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 09:45:13,COMMENT_GOES_HERE
431,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 11:40:37,COMMENT_GOES_HERE
432,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 11:40:37,COMMENT_GOES_HERE
433,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 11:40:37,COMMENT_GOES_HERE
434,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 13:36:05,COMMENT_GOES_HERE
435,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 13:36:05,COMMENT_GOES_HERE
436,-1,-1,-1,-1,Dayside_Nadir,2018 APR 11 13:36:05,COMMENT_GOES_HERE
437,1,1,1107,1107,Dayside_Nadir,2018 APR 11 15:21:35,NONE
438,1,1,2318,2318,Dayside_Nadir,2018 APR 11 17:17:03,NONE
439,1,1,144,144,Dayside_Nadir,2018 APR 11 19:12:27,NONE
440,1,1,1090,1090,Dayside_Nadir,2018 APR 11 21:07:51,NONE
441,1,1,2639,2639,Dayside_Nadir,2018 APR 11 23:03:15,NONE
442,1,1,140,140,Dayside_Nadir,2018 APR 12 00:58:39,NONE
443,1,1,104,104,Dayside_Nadir,2018 APR 12 02:54:07,NONE
444,1,1,1033,1033,Dayside_Nadir,2018 APR 12 04:49:35,NONE
445,1,1,1860,1860,Dayside_Nadir,2018 APR 12 06:45:03,NONE
446,1,1,2626,2626,Dayside_Nadir,2018 APR 12 08:40:27,NONE
447,1,1,116,116,Dayside_Nadir,2018 APR 12 10:35:49,NONE
448,1,1,1779,1779,Dayside_Nadir,2018 APR 12 12:31:15,NONE
449,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 14:36:43,COMMENT_GOES_HERE
450,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 14:36:43,COMMENT_GOES_HERE
451,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 14:36:43,COMMENT_GOES_HERE
452,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 16:32:11,COMMENT_GOES_HERE
453,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 16:32:11,COMMENT_GOES_HERE
454,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 16:32:11,COMMENT_GOES_HERE
455,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 18:27:39,COMMENT_GOES_HERE
456,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 18:27:39,COMMENT_GOES_HERE
457,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 18:27:39,COMMENT_GOES_HERE
458,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 20:23:03,COMMENT_GOES_HERE
459,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 20:23:03,COMMENT_GOES_HERE
460,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 20:23:03,COMMENT_GOES_HERE
461,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 22:18:25,COMMENT_GOES_HERE
462,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 22:18:25,COMMENT_GOES_HERE
463,-1,-1,-1,-1,Dayside_Nadir,2018 APR 12 22:18:25,COMMENT_GOES_HERE
464,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 00:13:49,COMMENT_GOES_HERE
475,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 11:46:25,COMMENT_GOES_HERE
476,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 11:46:25,COMMENT_GOES_HERE
477,1,1,1070,1070,Limb,2018 APR 13 13:31:51,NONE
478,1,1,1070,1070,Limb,2018 APR 13 15:27:19,NONE
479,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 17:32:49,COMMENT_GOES_HERE
480,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 17:32:49,COMMENT_GOES_HERE
481,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 17:32:49,COMMENT_GOES_HERE
482,1,1,1070,1070,Limb,2018 APR 13 19:18:15,NONE
483,1,1,1070,1070,Limb,2018 APR 13 21:13:37,NONE
484,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 23:19:01,COMMENT_GOES_HERE
485,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 23:19:01,COMMENT_GOES_HERE
486,-1,-1,-1,-1,Dayside_Nadir,2018 APR 13 23:19:01,COMMENT_GOES_HERE
487,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 01:14:25,COMMENT_GOES_HERE
488,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 01:14:25,COMMENT_GOES_HERE
489,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 01:14:25,COMMENT_GOES_HERE
490,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 03:09:53,COMMENT_GOES_HERE
491,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 03:09:53,COMMENT_GOES_HERE
492,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 03:09:53,COMMENT_GOES_HERE
493,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 05:05:21,COMMENT_GOES_HERE
494,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 05:05:21,COMMENT_GOES_HERE
495,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 05:05:21,COMMENT_GOES_HERE
496,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 07:00:47,COMMENT_GOES_HERE
497,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 07:00:47,COMMENT_GOES_HERE
498,-1,-1,-1,-1,Dayside_Nadir,2018 APR 14 07:00:47,COMMENT_GOES_HERE
