Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
121,Dayside_Nadir,2018 APR 03 08:04:11,1,1,104,104,
122,Dayside_Nadir,2018 APR 03 10:05:55,1,1,1033,1033,
123,Dayside_Nadir,2018 APR 03 12:07:41,1,1,1860,1860,
124,Dayside_Nadir,2018 APR 03 14:09:27,1,1,2626,2626,
125,Dayside_Nadir,2018 APR 03 16:11:09,1,1,116,116,
126,Dayside_Nadir,2018 APR 03 18:22:49,0,0,0,0,
127,Dayside_Nadir,2018 APR 03 20:24:29,0,0,0,0,
128,Dayside_Nadir,2018 APR 03 22:26:13,0,0,0,0,
129,Dayside_Nadir,2018 APR 04 00:27:57,0,0,0,0,
130,Dayside_Nadir,2018 APR 04 02:29:43,0,0,0,0,
131,Dayside_Nadir,2018 APR 04 04:31:25,0,0,0,0,
132,Dayside_Nadir,2018 APR 04 06:33:05,0,0,0,0,
133,Dayside_Nadir,2018 APR 04 08:21:31,1,1,1779,1779,
134,Dayside_Nadir,2018 APR 04 10:30:03,0,0,0,0,
135,Dayside_Nadir,2018 APR 04 12:18:39,1,1,2364,2364,
136,Dayside_Nadir,2018 APR 04 14:27:11,0,0,0,0,
137,Dayside_Nadir,2018 APR 04 16:15:43,1,1,1029,1029,
138,Dayside_Nadir,2018 APR 04 18:24:11,0,0,0,0,
139,Dayside_Nadir,2018 APR 04 20:12:39,1,1,1837,1837,
140,Dayside_Nadir,2018 APR 04 22:21:11,0,0,0,0,
141,Dayside_Nadir,2018 APR 05 00:09:43,1,1,124,124,
142,Dayside_Nadir,2018 APR 05 02:18:17,0,0,0,0,
143,Dayside_Nadir,2018 APR 05 04:06:49,1,1,1934,1934,
144,Dayside_Nadir,2018 APR 05 06:15:19,0,0,0,0,
145,Dayside_Nadir,2018 APR 05 08:13:45,0,0,0,0,
146,Dayside_Nadir,2018 APR 05 10:12:17,0,0,0,0,
