Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	470	Grazing	2018 MAY 17 03:46:04	2018 MAY 17 03:51:18	-	314.0	38.0	87.9	20.5	
N/A	471	Grazing	2018 MAY 17 05:42:56	2018 MAY 17 05:50:52	-	476.0	5.1	87.7	20.2	
N/A	472	Grazing	2018 MAY 17 07:40:19	2018 MAY 17 07:49:51	-	572.0	-18.5	88.0	20.6	
N/A	473	Grazing	2018 MAY 17 09:37:37	2018 MAY 17 09:48:44	-	667.0	-48.0	88.0	20.5	
N/A	474	Grazing	2018 MAY 17 11:34:42	2018 MAY 17 11:47:35	-	773.0	-84.0	87.6	20.0	
N/A	475	Grazing	2018 MAY 17 13:32:08	2018 MAY 17 13:46:12	-	844.0	-114.2	87.5	19.9	
N/A	476	Grazing	2018 MAY 17 15:29:50	2018 MAY 17 15:44:41	-	891.0	-145.4	87.3	19.8	
N/A	477	Grazing	2018 MAY 17 17:27:29	2018 MAY 17 17:43:13	-	944.0	-171.6	87.6	19.9	
N/A	478	Grazing	2018 MAY 17 19:25:03	2018 MAY 17 19:41:47	-	1004.0	153.1	87.0	19.5	
N/A	479	Grazing	2018 MAY 17 21:22:38	2018 MAY 17 21:40:18	-	1060.0	123.5	86.9	19.4	
N/A	480	Grazing	2018 MAY 17 23:20:20	2018 MAY 17 23:38:42	-	1102.0	98.7	87.4	19.7	
N/A	481	Grazing	2018 MAY 18 01:17:59	2018 MAY 18 01:37:07	-	1148.0	69.2	87.4	19.6	
N/A	482	Grazing	2018 MAY 18 03:15:30	2018 MAY 18 03:35:37	-	1207.0	35.0	86.7	19.3	
N/A	483	Grazing	2018 MAY 18 05:13:13	2018 MAY 18 05:34:08	-	1255.0	4.6	86.4	19.2	
N/A	484	Grazing	2018 MAY 18 07:11:03	2018 MAY 18 07:32:36	-	1293.0	-22.8	86.7	19.2	
N/A	485	Grazing	2018 MAY 18 09:08:51	2018 MAY 18 09:30:57	-	1326.0	-52.2	86.7	19.2	
N/A	486	Grazing	2018 MAY 18 11:06:26	2018 MAY 18 11:29:15	-	1369.0	-81.0	86.7	19.2	
N/A	487	Grazing	2018 MAY 18 13:04:03	2018 MAY 18 13:27:30	-	1407.0	-112.4	86.2	19.0	
N/A	488	Grazing	2018 MAY 18 15:01:51	2018 MAY 18 15:25:45	-	1434.0	-139.9	86.6	19.1	
N/A	489	Grazing	2018 MAY 18 16:59:41	2018 MAY 18 17:24:00	-	1459.0	-169.8	86.4	19.0	
N/A	490	Grazing	2018 MAY 18 18:57:25	2018 MAY 18 19:22:18	-	1493.0	160.5	86.2	18.9	
N/A	491	Grazing	2018 MAY 18 20:55:09	2018 MAY 18 21:20:35	-	1526.0	131.2	86.1	18.9	
N/A	492	Grazing	2018 MAY 18 22:52:54	2018 MAY 18 23:18:48	-	1554.0	102.3	86.1	18.9	
N/A	493	Grazing	2018 MAY 19 00:50:40	2018 MAY 19 01:16:58	-	1578.0	73.3	86.1	18.9	
N/A	494	Grazing	2018 MAY 19 02:48:20	2018 MAY 19 03:15:12	-	1612.0	43.9	86.0	18.8	
N/A	495	Grazing	2018 MAY 19 04:46:05	2018 MAY 19 05:13:30	-	1645.0	13.1	85.2	18.7	
N/A	496	Grazing	2018 MAY 19 06:43:57	2018 MAY 19 07:11:50	-	1673.0	-15.3	85.5	18.7	
N/A	497	Grazing	2018 MAY 19 08:41:49	2018 MAY 19 09:10:05	-	1696.0	-43.3	85.9	18.7	
N/A	498	Grazing	2018 MAY 19 10:39:34	2018 MAY 19 11:08:15	-	1721.0	-72.3	85.9	18.7	
N/A	499	Grazing	2018 MAY 19 12:37:14	2018 MAY 19 13:06:20	-	1746.0	-102.2	85.4	18.6	
N/A	500	Grazing	2018 MAY 19 14:35:01	2018 MAY 19 15:04:27	-	1766.0	-131.4	85.3	18.6	
