Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
362	152	152	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 04 05:19:59	2018 MAY 04 05:20:09	2018 MAY 04 06:22:57	2018 MAY 04 05:20:09	2018 MAY 04 05:30:09	-	2018 MAY 04 06:10:09	Same	Same	Same	2018 MAY 04 05:24:15	2018 MAY 04 05:34:15	2018 MAY 04 06:08:52	2400.0	3768.0	2077.0	3768.0	1	104	104	Diffraction order stepping (fullscan): 10 orders from 130 to 140 in steps of 1 (1 order(s) per 15 second(s))	-	
363	153	153	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 04 07:07:53	2018 MAY 04 07:08:03	2018 MAY 04 08:20:51	2018 MAY 04 07:08:03	2018 MAY 04 07:18:03	-	2018 MAY 04 08:20:51	Same	Same	Same	Same	Same	Same	3768.0	4368.0	3768.0	4368.0	1	2639	2639	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	-	
364	154	154	Dayside_Nadir	OFF	UVIS_1	2018 MAY 04 09:15:49	2018 MAY 04 09:15:59	2018 MAY 04 10:18:49	-	-	-	-	Same	Same	2018 MAY 04 10:14:36	-	-	-	-	3770.0	-	3517.000000357628	-	-	-	-	-	
365	154	154	Dayside_Nadir	OFF	UVIS_2	2018 MAY 04 09:15:49	2018 MAY 04 09:15:59	2018 MAY 04 10:18:49	-	-	-	-	Same	Same	2018 MAY 04 10:14:36	-	-	-	-	3770.0	-	3517.000000357628	-	-	-	-	-	
366	154	154	Dayside_Nadir	OFF	UVIS_3	2018 MAY 04 09:15:49	2018 MAY 04 09:15:59	2018 MAY 04 10:18:49	-	-	-	-	Same	Same	2018 MAY 04 10:14:36	-	-	-	-	3770.0	-	3517.000000357628	-	-	-	-	-	
367	310	155	Ingress	SO_O	UVIS_O	2018 MAY 04 10:14:41	2018 MAY 04 10:24:51	2018 MAY 04 10:32:58	2018 MAY 04 10:14:51	2018 MAY 04 10:24:51	2018 MAY 04 10:31:10	2018 MAY 04 10:32:58	Same	Same	Same	Same	Same	Same	487.0	487.0	487.0	487.0	1	1453	1452	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
368	311	155	Egress	SO_O	UVIS_O	2018 MAY 04 10:48:13	2018 MAY 04 10:58:23	2018 MAY 04 11:06:03	2018 MAY 04 10:48:23	2018 MAY 04 10:58:23	2018 MAY 04 11:00:08	2018 MAY 04 11:06:03	Same	Same	Same	Same	Same	Same	460.0	460.0	460.0	460.0	1	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
369	155	155	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 04 11:13:47	2018 MAY 04 11:13:57	2018 MAY 04 12:16:47	2018 MAY 04 11:13:57	2018 MAY 04 11:23:57	-	2018 MAY 04 12:03:57	Same	Same	Same	2018 MAY 04 11:18:16	2018 MAY 04 11:28:16	2018 MAY 04 12:02:29	2400.0	3770.0	2053.0	3770.0	1	2626	2626	Science: orders #167, #134, #168, #121, #189, #197, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	-	
370	156	156	Dayside_Nadir	OFF	UVIS_1	2018 MAY 04 13:11:43	2018 MAY 04 13:11:53	2018 MAY 04 14:14:43	-	-	-	-	Same	Same	2018 MAY 04 14:10:34	-	-	-	-	3770.0	-	3521.000000357628	-	-	-	-	-	
371	156	156	Dayside_Nadir	OFF	UVIS_2	2018 MAY 04 13:11:43	2018 MAY 04 13:11:53	2018 MAY 04 14:14:43	-	-	-	-	Same	Same	2018 MAY 04 14:10:34	-	-	-	-	3770.0	-	3521.000000357628	-	-	-	-	-	
372	156	156	Dayside_Nadir	OFF	UVIS_3	2018 MAY 04 13:11:43	2018 MAY 04 13:11:53	2018 MAY 04 14:14:43	-	-	-	-	Same	Same	2018 MAY 04 14:10:34	-	-	-	-	3770.0	-	3521.000000357628	-	-	-	-	-	
373	314	157	Ingress	SO_O	UVIS_O	2018 MAY 04 14:10:39	2018 MAY 04 14:20:49	2018 MAY 04 14:29:04	2018 MAY 04 14:10:49	2018 MAY 04 14:20:49	2018 MAY 04 14:27:14	2018 MAY 04 14:29:04	Same	Same	Same	Same	Same	Same	495.0	495.0	495.0	495.0	1	1440	1440	Science: orders #167, #155, #159, #164, #148, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
